;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
20;20;4523.92492562211;-4390.601903159524;13569.95410469301;2020-02-11;900.0716554043978;-1436.925949333278;3027.050815599808;40223.12950910527;-3534.1189464845456;88446.42986288818;44667.0;1113.0;4680.0
21;21;5547.4235135499075;-3643.017462560929;14710.487873593633;2020-02-12;1105.8567793928773;-1146.9193856676386;3262.9560409279675;45694.949366247;1968.753574591112;93262.30811786016;45046.0;1118.0;5147.0
22;22;7143.3708737875595;-1453.2472379773164;16672.904543156743;2020-02-13;1394.6180332540184;-825.7850408323994;3603.4860462192946;53121.206342900485;4649.428233331585;97715.01179582198;60193.0;1371.0;6292.0
23;23;8708.632251272114;41.416436325605034;18308.376106005337;2020-02-14;1756.0960514712058;-298.3672327673775;3998.0231153087057;57401.50949844664;8416.287816503425;107356.40571932247;66667.0;1523.0;8055.0
24;24;10781.711590656596;1972.0197241054213;20119.886234894064;2020-02-15;1390.3922129876985;-803.8811942561025;3749.8776627091415;35134.356982519515;-12930.61572296034;84348.96602527362;68745.0;1666.0;9392.0
25;25;13296.208807218583;3325.9380944153163;22274.523344476835;2020-02-16;2175.9681442782103;32.14606057357122;4432.668849065491;66050.82541540432;20199.64205519688;113225.08225953758;70869.0;1770.0;10862.0
26;26;14568.706244965811;5454.823737809304;23815.64107037335;2020-02-17;2300.7259895777042;-82.38124907639963;4461.09969855242;69817.10769324485;23318.442577155194;117211.47313463943;72804.0;1868.0;12580.0
27;27;13664.562374929297;4599.517892425285;22822.600656882256;2020-02-18;1561.2187296260963;-637.7074540074071;3845.225076066132;58805.633022510854;12284.588778915717;102849.7281714925;74594.0;2007.0;14349.0
28;28;16359.789040831489;6526.963814220693;25497.132107955054;2020-02-19;1767.3699613038805;-420.9444965503891;3869.937044619566;64277.452884697355;17385.478692804998;111103.97194207035;75018.0;2122.0;16117.0
29;29;18858.5756836805;9698.449445342745;28270.549017032146;2020-02-20;2056.648931949342;-458.9731458299342;4335.3175606884415;71704.65982019204;25710.865502726214;117238.8900623898;75563.0;2245.0;18173.0
30;30;21326.676343772677;11679.814824462635;30808.854223540722;2020-02-21;2418.644666951242;171.06071998646624;4708.388196490303;75985.9129346364;28962.43466677767;121290.5922794941;76185.0;2249.0;18884.0
31;31;24302.59496576245;15211.228457490006;33807.25424362958;2020-02-22;2053.458545252866;-189.9056184865374;4389.341732460766;53719.71037762123;5506.655618655468;101237.8127499936;77938.0;2456.0;22880.0
32;32;27719.983187089223;18544.911567816478;37105.9215632478;2020-02-23;2839.4018860281503;486.29859496706916;5231.2289987078075;84637.12877025077;36912.1308986063;129203.48692197139;78267.0;2466.0;23389.0
33;33;29895.371629598263;20875.68828574797;39523.35094315416;2020-02-24;2964.527140812701;875.0537133834214;5389.011716224694;88404.36100783371;44187.44485392352;137845.52608966516;78834.0;2626.0;25222.0
34;34;28995.453834699772;19637.369308636185;37513.895640850584;2020-02-25;2225.9549030989497;-141.2175964334183;4307.604638104822;77393.96180754708;31456.471736336534;124051.09057707753;79679.0;2705.0;27899.0
